Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,Construction_recorded,schedule_recorded,Window_Count,w_north,w_north-east,w_east,w_south-east,w_south,w_south-west,w_west,w_north-west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Cooling,Heating,Lighting,Equipment
81.51,4,0.121,0.121,0.06,0,0,3,0,0,0,0,0,1,0,1,11.99,1,0,0,0,0,0,1,1,37.61,21.04,7.06,2.38
99.67,2,0.114,0.114,0.057,0,0,3,0,0,0,0,1,0,1,0,12.68,0,0,0,0,1,0,0,0,24.09,23.27,9.85,2.38
50.87,5,0.027,0.027,0.027,0,2,4,0,1,0,1,0,0,0,0,12.81,0,1,0,0,0,0,0,1,13.33,23.7,8,1.59
50.4,4,0.111,0.111,0.111,0,0,4,1,0,0,0,0,0,1,0,10.87,0,0,1,0,0,0,1,1,29.21,29,5.89,1.59
43.04,6,0.023,0.023,0.023,0,2,4,0,0,0,0,0,1,0,1,13.81,1,0,1,0,0,0,1,1,43.89,40.07,5.77,1.59
103.32,4,0.193,0.193,0.096,0,0,3,0,0,1,0,1,0,0,0,9.49,0,0,0,0,0,1,1,1,29.27,40.29,7.28,2.38
149.82,2,0.06,0.06,0.03,0,0,3,0,1,0,1,0,0,0,0,9.93,0,0,0,0,0,0,0,0,17.53,37.57,11.15,2.38
152.94,4,0.139,0.139,0.07,0,0,3,0,0,0,1,0,1,0,0,11.24,0,0,0,0,0,0,0,0,30.14,39.58,7.18,2.38
96.16,4,0.061,0.061,0.061,0,0,4,0,0,0,0,0,1,0,1,8.55,1,0,0,0,0,0,1,1,54.13,54.65,5.78,1.59
53.33,4,0.111,0.111,0.055,0,0,4,1,1,0,1,0,0,0,0,16.47,0,0,1,1,1,0,0,0,33.26,19.36,7.36,2.38
61.05,1,0.076,0.076,0.038,0,0,3,0,1,0,1,0,0,0,0,15.22,1,0,0,0,0,1,1,1,13,19.87,11.01,2.38
61.8,1,0.313,0.313,0.157,0,0,4,0,1,0,1,0,0,0,0,9.86,0,0,0,0,0,0,0,0,25.59,29.15,10.93,2.38
61.98,4,0.039,0.039,0.039,0,1,4,0,0,0,1,0,1,0,0,11.06,0,0,1,1,1,0,0,0,35.18,43.69,5.95,1.59
155.43,5,0.243,0.243,0.121,0,0,3,1,0,0,0,0,0,1,0,11.28,0,0,0,0,0,0,0,0,36.5,38.72,7.18,2.38
92.99,5,0.304,0.304,0.152,0,0,4,0,1,0,0,0,0,0,1,9.84,0,0,0,0,0,0,0,0,28.45,28.48,10.27,2.38
58.18,3,0.057,0.057,0.028,0,2,3,0,1,0,1,0,0,0,0,10.06,0,0,0,1,0,0,0,0,23.26,29.65,7.25,2.38
90.82,2,0.293,0.293,0.293,0,0,4,1,0,1,0,0,0,0,0,9.66,0,0,0,0,0,1,0,0,15.54,36.52,9.99,1.59
93.08,5,0.122,0.122,0.122,0,0,4,1,0,0,0,0,0,1,0,13.6,1,0,0,1,1,0,0,0,15.68,23.49,6.31,1.59
49.4,1,0.156,0.156,0.078,0,0,3,0,0,0,0,0,1,0,1,10.75,0,0,0,0,0,0,0,0,27.62,24.69,7.5,2.38
121.52,4,0.247,0.247,0.123,0,0,5,0,1,0,1,0,1,0,0,15.54,0,0,0,0,0,0,0,0,32.46,35.72,7.83,2.38
76.08,5,0.05,0.05,0.025,0,2,4,0,0,0,0,1,0,1,0,10.71,0,0,1,0,0,0,0,0,36.6,35,11.74,2.38
93.31,2,0.03,0.03,0.03,0,1,4,0,1,0,0,0,0,0,1,11.99,0,0,0,0,0,0,1,0,17.99,26.07,5.98,1.59
62.66,1,0.131,0.131,0.066,0,0,4,1,1,0,0,0,0,1,0,11.68,0,0,0,1,0,0,0,0,15.9,28.61,11.38,2.38
61.49,2,0.123,0.123,0.123,0,0,4,0,0,0,0,0,1,0,1,10.54,0,0,1,1,1,1,0,0,41.1,22.81,5.88,1.59
76.27,6,0.061,0.061,0.031,0,1,3,0,0,0,0,0,1,0,1,9.9,1,0,0,0,0,0,0,0,61.87,42.14,7,2.38
69.71,3,0.046,0.046,0.023,0,1,4,1,1,0,0,0,0,1,0,11.55,0,0,0,0,0,0,1,0,22.73,32.4,7.37,2.38
56.24,3,0.465,0.465,0.232,0,0,6,1,0,1,0,0,0,1,0,12.1,0,0,0,0,0,0,0,1,30.02,54.29,9.92,2.38
62.66,6,0.069,0.069,0.035,0,0,4,1,0,0,0,0,1,1,0,9.98,0,0,0,0,0,0,0,0,49.23,48.77,7.01,2.38
50.58,5,0.068,0.068,0.034,0,1,3,0,1,0,1,0,0,0,0,9.23,1,0,0,0,0,0,0,0,41.32,47.28,7.08,2.38
77.03,4,0.048,0.048,0.024,0,2,4,1,0,1,0,0,0,0,0,11.09,0,0,0,1,1,0,0,0,34.25,23.82,7.72,2.38
99.47,4,0.164,0.164,0.164,0,0,4,0,0,0,1,0,1,0,0,9.09,1,0,0,0,0,0,0,1,31.4,29.17,7.53,1.59
103.32,1,0.093,0.093,0.046,1,2,3,0,1,0,0,0,0,0,1,11.13,0,0,0,0,0,0,0,0,10.81,12.57,9.19,2.38
52.17,2,0.188,0.188,0.094,0,0,3,0,1,0,1,0,0,0,0,12.46,0,1,0,1,1,0,0,1,40.12,23.4,7.32,2.38
189.63,4,0.044,0.044,0.022,0,2,4,0,0,1,0,1,1,0,0,11.6,0,0,0,0,1,1,0,0,29.89,45.31,7.05,2.38
131.35,3,0.1,0.1,0.1,1,2,4,0,0,0,0,1,0,1,0,9.47,0,0,0,0,0,0,0,0,13.02,14.32,9.09,1.59
65.87,5,0.061,0.061,0.061,1,2,4,0,0,0,1,0,1,0,0,12.35,0,0,0,1,1,1,1,0,34.99,36.63,6.05,1.59
64.21,5,0.14,0.14,0.14,0,0,4,1,0,0,0,0,0,1,0,12.46,0,1,1,0,0,0,0,0,29.04,28.73,5.87,1.59
152.41,2,0.036,0.036,0.036,0,0,4,1,0,0,0,0,0,1,0,11.41,1,0,1,1,0,0,1,1,26.03,21.4,7.39,1.59
107.48,4,0.049,0.049,0.049,0,0,4,0,0,0,0,0,1,0,1,10.37,0,0,0,0,0,0,0,0,41.68,45.74,5.89,1.59
84.54,2,0.243,0.243,0.121,0,0,3,0,1,0,0,0,0,0,1,8.45,0,0,1,0,1,0,0,0,27.33,39.5,7.07,2.38
63.94,4,0.046,0.046,0.023,0,0,4,0,0,0,1,1,0,1,0,11.4,1,0,0,0,0,0,0,1,36.36,32.63,8.9,2.38
180.04,2,0.064,0.064,0.032,0,1,3,0,0,1,0,1,0,0,0,9.49,0,0,0,0,0,1,1,1,18.82,41.54,7.84,2.38
60.61,2,0.059,0.059,0.059,0,0,4,0,0,0,1,0,1,0,0,14.98,0,0,0,0,0,0,0,0,12.82,20.45,9.73,1.59
84.35,5,0.066,0.066,0.033,0,2,4,0,1,0,0,0,0,0,1,9.42,0,0,0,0,0,0,0,1,19.22,30.56,11.34,2.38
66.62,6,0.286,0.286,0.286,0,0,4,0,1,0,1,0,0,0,0,8.75,1,0,0,0,0,0,0,0,37.12,64.8,8.07,1.59
86.27,1,0.027,0.027,0.027,0,2,4,0,1,0,0,0,0,0,1,12.75,1,1,1,0,1,0,1,0,29.37,24.02,5.85,1.59
92,5,0.037,0.037,0.037,1,2,4,0,0,1,0,1,0,0,0,15.35,0,1,1,1,1,1,0,0,24.2,27.17,7.05,1.59
51.53,3,0.236,0.236,0.236,0,0,4,0,0,0,1,0,1,0,0,9.69,0,0,0,1,0,0,0,0,17.62,29.49,9.55,1.59
112.06,2,0.049,0.049,0.049,0,1,4,1,0,1,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,13.33,32.53,9.63,1.59
92.49,6,0.046,0.046,0.023,0,1,3,0,1,0,0,0,0,0,1,11.19,0,0,1,0,0,0,0,1,46.25,34.11,7.04,2.38
57.85,3,0.081,0.081,0.041,0,0,3,0,0,0,0,0,1,0,1,9.15,1,1,0,0,0,0,1,1,56.8,43.78,7.03,2.38
66.84,1,0.155,0.155,0.155,0,0,4,1,0,0,0,0,0,1,0,11.95,1,0,0,0,1,1,0,0,13.25,24.08,9.1,1.59
50.64,4,0.053,0.053,0.027,0,1,3,0,1,0,1,0,0,0,0,10.46,0,0,0,0,0,0,0,0,28.56,30.36,7.36,2.38
63.14,5,0.173,0.173,0.173,0,0,4,0,1,0,0,0,0,0,1,9.5,0,0,0,0,0,0,0,0,29.53,36.55,5.75,1.59
76.55,3,0.038,0.038,0.038,0,0,4,0,1,0,0,0,0,0,1,10.82,0,0,1,0,1,0,0,0,11.38,25.94,9.58,1.59
48.68,3,0.273,0.273,0.136,0,0,3,0,1,0,1,0,0,0,0,11.02,1,1,1,1,0,0,1,1,52.34,37,7.08,2.38
99.47,5,0.147,0.147,0.147,0,0,4,0,1,0,0,0,0,0,1,9.54,0,0,0,0,0,0,0,0,41.03,40.35,5.82,1.59
59.74,4,0.142,0.142,0.071,0,0,5,0,1,0,0,0,1,0,1,15.77,0,0,0,0,0,0,0,0,26.93,34.54,10.83,2.38
58.59,3,0.153,0.153,0.076,0,0,4,0,0,0,1,0,1,0,0,10.64,1,0,0,0,0,0,0,1,21.14,24.17,11.52,2.38
131.37,3,0.036,0.036,0.036,0,2,7,0,1,0,1,0,0,0,1,15.67,0,0,0,0,0,0,0,0,26,32.82,7.46,1.59
107.9,2,0.027,0.027,0.013,0,2,3,0,0,0,1,0,1,0,0,14.78,1,0,0,0,0,1,0,0,16.98,21.13,9.21,2.38
65.12,6,0.125,0.125,0.063,0,0,4,0,1,0,0,1,0,0,0,15.18,0,0,0,0,0,0,0,1,41.66,35.71,7.14,2.38
51.49,4,0.06,0.06,0.03,0,1,3,1,0,0,0,0,0,1,0,9.88,0,0,0,0,0,0,0,1,23.24,33.99,7.28,2.38
76.53,1,0.111,0.111,0.111,0,0,4,0,1,0,0,0,0,0,1,11.39,0,0,0,0,0,0,0,0,15.1,29.19,6.46,1.59
58.57,1,0.035,0.035,0.035,0,2,4,0,0,0,1,0,1,0,0,11.53,1,0,0,0,0,0,0,1,16.19,31.46,8.24,1.59
92.99,1,0.031,0.031,0.031,0,1,4,0,0,0,0,0,1,0,1,11.81,0,0,0,1,0,0,0,0,26.16,22.23,6.17,1.59
65.88,3,0.017,0.017,0.017,0,1,4,0,1,0,0,0,0,0,1,15.86,1,0,1,0,0,0,1,0,15.22,21.36,5.93,1.59
50.95,5,0.047,0.047,0.047,0,0,4,0,1,0,0,0,0,0,1,9.88,0,0,0,1,1,0,0,0,15.07,31.06,9.16,1.59
89.13,1,0.257,0.257,0.129,0,0,6,0,1,1,0,1,1,0,0,17,1,0,0,0,0,0,0,1,20.59,44.48,8.94,2.38
84.08,3,0.209,0.209,0.105,0,0,3,0,0,0,1,0,1,0,0,11.77,0,1,1,1,0,0,0,0,51.76,30.3,7.13,2.38
72.62,5,0.189,0.189,0.189,0,0,4,0,1,0,1,0,0,0,0,10.79,0,0,0,0,1,0,0,0,17.35,28.72,8.71,1.59
67.29,1,0.202,0.202,0.101,0,0,3,0,1,0,0,0,0,0,1,12.35,1,0,0,0,1,1,0,0,19.75,27.84,9.13,2.38
74.08,3,0.083,0.083,0.083,0,0,4,0,0,0,1,0,1,0,0,12.99,0,1,0,0,1,0,1,0,44.07,32.12,5.89,1.59
93.75,5,0.035,0.035,0.017,0,1,4,1,0,1,0,0,0,0,0,12.97,0,0,0,0,0,0,0,0,21.88,27.19,11.98,2.38
71.03,3,0.069,0.069,0.069,0,0,4,1,0,1,0,0,0,0,0,13.72,0,0,0,0,0,1,1,1,11.36,22.51,8.57,1.59
77.88,2,0.197,0.197,0.099,0,0,3,0,0,1,0,1,0,0,0,12.15,0,0,0,0,1,1,0,0,32.55,35.55,7.06,2.38
