Floor Area,Floor Number,#ofPeople,Construction_recorded,schedule_recorded,Window Count,w_north,w_east,w_south,w_west,total_window_area,o_north,o_north-east,o_east,o_south-east,o_south,o_south-west,o_west,o_north-west,Building Type,Heating,Lighting,Equipment
73.03114,1,0.041078,0,0,2,1,0,0,1,13.8,0,0,0,0,0,0,0,0,1,77.95,16.62,5.76
108.579039,1,0.02763,0,0,2,0,1,1,0,15.75,1,0,0,1,0,0,0,0,1,63.7,16.91,5.76
83.76036,1,0.035816,0,0,2,1,0,0,1,14.09,0,0,1,0,0,0,0,0,1,72.55,16.44,5.76
124.147076,1,0.008055,0,2,3,1,1,1,0,25.96,0,0,1,0,0,0,0,0,1,109.5,16.43,5.76
90.113474,2,0.011097,0,1,2,1,0,0,1,14.72,1,0,0,0,0,0,0,0,1,97.86,15.63,5.76
66.655408,1,0.045008,0,0,2,0,0,1,1,12.41,1,0,0,0,0,0,0,0,1,83.26,16.49,5.76
97.200438,0,0.05144,0,3,2,1,0,0,1,15.3,0,0,0,0,1,0,1,0,0,52.17,18.82,5.76
68.431744,2,0.014613,0,2,2,0,0,1,1,13.6,0,0,0,0,0,0,0,0,1,125.07,15.51,5.76
84.209239,0,0.02375,1,3,2,0,0,1,1,14.66,1,0,1,0,0,0,0,0,0,34.63,17.8,5.76
109.478081,1,0.018268,0,1,2,0,1,1,0,15.89,0,0,0,0,0,0,0,0,1,99.85,17.29,5.76
112.812967,2,0.026593,0,0,3,1,1,1,0,22.74,0,0,0,0,0,0,1,1,1,77.59,16.04,5.76
80.009135,0,0.024997,0,3,2,1,0,0,1,14.15,0,0,1,0,0,0,0,0,0,58.4,18.1,5.76
84.998609,0,0.02353,0,3,2,0,0,1,1,14.35,0,0,0,0,0,0,0,1,0,63.67,18.23,5.76
86.978825,1,0.034491,0,0,2,1,1,0,0,14.44,0,0,0,0,0,1,0,0,1,73.37,16.57,5.76
168.238482,0,0.005944,0,3,2,1,0,0,1,19.46,0,0,0,1,1,0,0,0,0,44.23,18.82,5.76
101.319014,1,0.029609,0,2,2,0,0,1,1,15.41,0,0,1,0,0,0,1,0,1,104.05,17.13,5.76
69.390728,2,0.028822,1,0,2,1,0,0,1,13.12,1,0,0,1,1,1,0,0,1,53.37,15.53,5.76
